question_id,priority,affected_count,source_group,decision_needed,example_source_paths,related_inventory,status,owner,notes
Q01,P0,110,docs-faq/adjust-music-volume.mdx,"FAQ taxonomy is not present as a stable zh-CN target tree; decide whether FAQs migrate, merge into product docs, or archive.",docs-faq/adjust-music-volume.mdx|docs-faq/allow-haptics.mdx|docs-faq/android-background.mdx|docs-faq/android-noaudio.mdx|docs-faq/app-exit.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q02,P0,66,docs/flexible-classroom,No matching target product directory found for legacy docs/flexible-classroom; decide tab/product IA before migration.,docs/flexible-classroom/_resources.mdx|docs/flexible-classroom/_restapi.mdx|docs/flexible-classroom/advanced-features/_scene-builder/_create-project.mdx|docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx|docs/flexible-classroom/advanced-features/_scene-builder/_design-scene.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q03,P0,48,docs/one-to-one-live,No matching target product directory found for legacy docs/one-to-one-live; decide tab/product IA before migration.,docs/one-to-one-live/custom-signaling/advanced-features/app-billing-policy.mdx|docs/one-to-one-live/custom-signaling/advanced-features/audio-scenario.mdx|docs/one-to-one-live/custom-signaling/advanced-features/integration-guideline.android.mdx|docs/one-to-one-live/custom-signaling/advanced-features/integration-guideline.ios.mdx|docs/one-to-one-live/custom-signaling/api/call-api.android.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q04,P0,42,docs/multi-usecase,No matching target product directory found for legacy docs/multi-usecase; decide tab/product IA before migration.,docs/multi-usecase/_homepage_.mdx|docs/multi-usecase/non-scenario-based/karaoke.android.mdx|docs/multi-usecase/non-scenario-based/karaoke.ios.mdx|docs/multi-usecase/non-scenario-based/landing-page.mdx|docs/multi-usecase/non-scenario-based/mcp-integrate.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q05,P0,36,html-docs/agora-chat,"Generated HTML API requires source/generator confirmation, stable fragment preservation, and target API Reference IA approval.",html-docs/agora-chat/Flutter|html-docs/dummy-product/C|html-docs/dummy-product/Cpp|html-docs/dummy-product/doxygen_Cpp|html-docs/dummy-product/iOS,api-inventory.csv|migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q06,P0,34,docs/showroom,No matching target product directory found for legacy docs/showroom; decide tab/product IA before migration.,docs/showroom/advanced-features/audio-scenario.mdx|docs/showroom/advanced-features/beauty/bytedance/integrate.android.mdx|docs/showroom/advanced-features/beauty/bytedance/integrate.ios.mdx|docs/showroom/advanced-features/beauty/bytedance/run-project.android.mdx|docs/showroom/advanced-features/beauty/bytedance/run-project.ios.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q07,P0,33,docs/agora-product,No matching target product directory found for legacy docs/agora-product; decide tab/product IA before migration.,docs/agora-product/advanced-features/use-feature-1.mdx|docs/agora-product/advanced-features/use-feature-2.mdx|docs/agora-product/advanced-features/use-feature-3.mdx|docs/agora-product/api/reference.mdx|docs/agora-product/basic-features/precall-test.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q08,P0,30,docs-api-reference/recording,No approved API Reference target directory found for legacy docs-api-reference/recording; decide API lane/product owner.,docs-api-reference/recording/_en/_cpp/enum.mdx|docs-api-reference/recording/_en/_cpp/iagoramediacomponentfactory.mdx|docs-api-reference/recording/_en/_cpp/iagoramediarecorder.mdx|docs-api-reference/recording/_en/_cpp/iagoramediartcrecordereventhandler.mdx|docs-api-reference/recording/_en/_cpp/iagoraservice.mdx,api-inventory.csv|migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q09,P0,27,docs/meta-world,No matching target product directory found for legacy docs/meta-world; decide tab/product IA before migration.,docs/meta-world/advanced-features/dress-face.android.mdx|docs/meta-world/advanced-features/dress-face.ios.mdx|docs/meta-world/advanced-features/share-audio-video.android.mdx|docs/meta-world/advanced-features/share-audio-video.ios.mdx|docs/meta-world/advanced-features/spatial-audio.android.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q10,P0,21,html-docs/agora-chat,Generated API support assets should move only with approved generated-API migration lane.,html-docs/agora-chat/Flutter|html-docs/dummy-product/C|html-docs/dummy-product/doxygen_Cpp|html-docs/dummy-product/iOS|html-docs/dummy-product/Java,api-inventory.csv|migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q11,P0,21,docs/iot-apaas,No matching target product directory found for legacy docs/iot-apaas; decide tab/product IA before migration.,docs/iot-apaas/_homepage_.mdx|docs/iot-apaas/_resources.mdx|docs/iot-apaas/advanced-features/alarm.android.ios.device-c.mdx|docs/iot-apaas/advanced-features/cloud-storage.android.ios.device-c.mdx|docs/iot-apaas/advanced-features/upgrade-ota.android.ios.device-c.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q12,P0,16,docs/game-voice,No matching target product directory found for legacy docs/game-voice; decide tab/product IA before migration.,docs/game-voice/api.mdx|docs/game-voice/best-practices/audio-experience-optimization.mdx|docs/game-voice/get-started/audio-quick-start.mdx|docs/game-voice/get-started/enable-service.mdx|docs/game-voice/get-started/run-example.unity.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
Q13,P0,14,docs-basics/glossary.mdx,"Basics pages may merge into introduction, best-practices, or product reference; confirm IA before migration.",docs-basics/glossary.mdx|docs-basics/security/_iso-certificate.mdx|docs-basics/security/_rtsa-sdk.mdx|docs-basics/security/best-practice.mdx|docs-basics/security/fastboard-sdk.mdx,migration-ledger.csv|path-map.csv,open,,Generated from blocked migration ledger rows; resolve before assigning final target paths.
