component,occurrences,example_source_paths,category,target_mapping,status,risk,batchable,decision_refs,notes
Td,57334,docs-api-reference/aigc/aigcservice.android.mdx|docs-api-reference/aigc/aigcservice.ios.mdx|docs-api-reference/cloud-recording/go-api/basicauthcredential.go.mdx|docs-api-reference/cloud-recording/go-api/client.go.mdx|docs-api-reference/cloud-recording/go-api/enum.go.mdx|docs-api-reference/cloud-recording/go-api/individualrecording.go.mdx|docs-api-reference/cloud-recording/go-api/mixrecording.go.mdx|docs-api-reference/cloud-recording/go-api/samplelogger.go.mdx,table,GFM table when simple; native HTML only for row/col spans or block-heavy cells,classified,high,yes,legacy-casebook:tables,Generated 2026-07-02T10:27:25.467Z; 412 source files include this legacy JSX tag after code fences were excluded.
Tr,19006,docs-api-reference/aigc/aigcservice.android.mdx|docs-api-reference/aigc/aigcservice.ios.mdx|docs-api-reference/cloud-recording/go-api/basicauthcredential.go.mdx|docs-api-reference/cloud-recording/go-api/client.go.mdx|docs-api-reference/cloud-recording/go-api/enum.go.mdx|docs-api-reference/cloud-recording/go-api/individualrecording.go.mdx|docs-api-reference/cloud-recording/go-api/mixrecording.go.mdx|docs-api-reference/cloud-recording/go-api/samplelogger.go.mdx,table,GFM table when simple; native HTML only for row/col spans or block-heavy cells,classified,high,yes,legacy-casebook:tables,Generated 2026-07-02T10:27:25.467Z; 412 source files include this legacy JSX tag after code fences were excluded.
Admonition,6156,docs-api-reference/aigc/aigcservice.android.mdx|docs-api-reference/aigc/aigcservice.ios.mdx|docs-api-reference/cloud-recording/go-api/baseresponse.go.mdx|docs-api-reference/cloud-recording/go-api/basicauthcredential.go.mdx|docs-api-reference/cloud-recording/go-api/client.go.mdx|docs-api-reference/cloud-recording/go-api/enum.go.mdx|docs-api-reference/cloud-recording/go-api/individualrecording.go.mdx|docs-api-reference/cloud-recording/go-api/mixrecording.go.mdx,callout,directive callout :::note/info/tip/warning/error,classified,medium,yes,legacy-casebook:admonitions,Generated 2026-07-02T10:27:25.467Z; 1069 source files include this legacy JSX tag after code fences were excluded.
ListTitle,5334,docs/agora-product/overview/release-notes.mdx|docs/analytics/overview/release-notes.mdx|docs/cloud-recording/overview/release-notes.mdx|docs/convoai/overview/release-notes.mdx|docs/dummy-product/test/release-note.unity.mdx|docs/flexible-classroom/overview/release-notes.android.mdx|docs/flexible-classroom/overview/release-notes.ios.mdx|docs/flexible-classroom/overview/release-notes.javascript.electron.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 60 source files include this legacy JSX tag after code fences were excluded.
Table,4120,docs-api-reference/aigc/aigcservice.android.mdx|docs-api-reference/aigc/aigcservice.ios.mdx|docs-api-reference/cloud-recording/go-api/basicauthcredential.go.mdx|docs-api-reference/cloud-recording/go-api/client.go.mdx|docs-api-reference/cloud-recording/go-api/enum.go.mdx|docs-api-reference/cloud-recording/go-api/individualrecording.go.mdx|docs-api-reference/cloud-recording/go-api/mixrecording.go.mdx|docs-api-reference/cloud-recording/go-api/samplelogger.go.mdx,table,GFM table when simple; native HTML only for row/col spans or block-heavy cells,classified,high,yes,legacy-casebook:tables,Generated 2026-07-02T10:27:25.467Z; 421 source files include this legacy JSX tag after code fences were excluded.
PlatformFilter,3594,docs-api-reference/flexible-classroom/fcr-ui-scene.javascript.electron.mdx|docs-api-reference/rtm2/_en/_android/_enumv-en.mdx|docs-api-reference/rtm2/_en/_cpp/_enumv-en.mdx|docs-api-reference/rtm2/_en/_flutter/_enumv-en.mdx|docs-api-reference/rtm2/_en/_harmonyos/_enumv-en.mdx|docs-api-reference/rtm2/_en/_ios/_enumv-en.mdx|docs-api-reference/rtm2/_en/_unity/_enumv-en.mdx|docs-api-reference/rtm2/enumv.android.ios.cpp.flutter.swift.harmonyos.mdx,platform-variant,static platform folders or PlatformInline/PlatformStructured,needs_review,high,partial,legacy-casebook:platform-filters,Generated 2026-07-02T10:27:25.467Z; 252 source files include this legacy JSX tag after code fences were excluded.
VersionTitle,3052,docs/agora-product/overview/release-notes.mdx|docs/analytics/overview/release-notes.mdx|docs/cloud-recording/overview/release-notes.mdx|docs/convoai/overview/release-notes.mdx|docs/dummy-product/test/release-note.unity.mdx|docs/flexible-classroom/overview/release-notes.android.mdx|docs/flexible-classroom/overview/release-notes.ios.mdx|docs/flexible-classroom/overview/release-notes.javascript.electron.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 61 source files include this legacy JSX tag after code fences were excluded.
Col,2508,docs-basics/security/best-practice.mdx|docs/agora-product/basic-features/precall-test.mdx|docs/agora-product/get-started/quick-start-framework.mdx|docs/agora-product/get-started/quick-start-native.mdx|docs/agora-product/landing-page.android.mdx|docs/agora-product/landing-page.restful.mdx|docs/agora-product/resources.mdx|docs/aigc/landing-page.mdx,layout,remove Ant Design layout; rewrite as Markdown sections or approved cards directive,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 338 source files include this legacy JSX tag after code fences were excluded.
H3,2458,docs-api-reference/dummy-product/toc-configuration/configuration.unity.mdx|docs-api-reference/fastboard/fastboard-api.ios.mdx|docs-api-reference/fastboard/fastboard-api.javascript.mdx|docs-api-reference/fastboard/fastboard-api.mdx|docs-api-reference/flexible-classroom/classroom-sdk.android.mdx|docs-api-reference/flexible-classroom/classroom-sdk.ios.mdx|docs-api-reference/flexible-classroom/classroom-sdk.javascript.electron.mdx|docs-api-reference/flexible-classroom/fcr-ui-scene.javascript.electron.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 108 source files include this legacy JSX tag after code fences were excluded.
H2,2048,docs-api-reference/dummy-product/toc-configuration/configuration.unity.mdx|docs-api-reference/fastboard/fastboard-api.ios.mdx|docs-api-reference/fastboard/fastboard-api.javascript.mdx|docs-api-reference/fastboard/fastboard-api.mdx|docs-api-reference/flexible-classroom/classroom-sdk.android.mdx|docs-api-reference/flexible-classroom/classroom-sdk.ios.mdx|docs-api-reference/flexible-classroom/classroom-sdk.javascript.electron.mdx|docs-api-reference/flexible-classroom/fcr-ui-scene.javascript.electron.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 197 source files include this legacy JSX tag after code fences were excluded.
